127.0.0.1 - - [31/Mar/2019:14:57:56 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:58:06 +0200] "GET /Magellan/acceuil.xhtml HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:58:06 +0200] "GET /Magellan/resources/autre/beach2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:58:06 +0200] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:58:20 +0200] "GET /Magellan/reservation.xhtml HTTP/1.1" 200 20932
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:58:20 +0200] "GET /Magellan/resources/autre/voyage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:58:32 +0200] "GET /Magellan/qui.xhtml HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:58:32 +0200] "GET /Magellan/resources/autre/grece.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:59:14 +0200] "GET /Magellan/contact.xhtml HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:59:14 +0200] "GET /Magellan/resources/autre/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:59:14 +0200] "GET /Magellan/resources/autre/link.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:59:14 +0200] "GET /Magellan/resources/autre/mail.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:59:14 +0200] "GET /Magellan/resources/autre/fond.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:59:19 +0200] "GET /Magellan/qui.xhtml HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [31/Mar/2019:14:59:22 +0200] "GET /Magellan/reservation.xhtml HTTP/1.1" 200 20931
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:25 +0200] "GET /Magellan/reservation.xhtml HTTP/1.1" 200 20955
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/inprogress.xhtml HTTP/1.1" 200 2867
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/javax.faces.resource/core.js.xhtml;jsessionid=3AAB4155773AA954A14103A8A61AB9D1?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=3AAB4155773AA954A14103A8A61AB9D1?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/javax.faces.resource/components.js.xhtml;jsessionid=3AAB4155773AA954A14103A8A61AB9D1?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/resources/autre/fb.png HTTP/1.1" 200 1919
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25120
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/javax.faces.resource/components.css.xhtml;jsessionid=3AAB4155773AA954A14103A8A61AB9D1?ln=primefaces&v=7.0 HTTP/1.1" 200 93229
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/resources/autre/link.jpg HTTP/1.1" 200 11619
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:27 +0200] "GET /Magellan/resources/autre/mail.jpg HTTP/1.1" 200 11688
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:28 +0200] "GET /Magellan/resources/autre/wip.jpg HTTP/1.1" 200 136554
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:28 +0200] "GET /Magellan/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [31/Mar/2019:15:00:28 +0200] "GET /favicon.ico HTTP/1.1" 404 1005
